word	meaning	sent_lc	sent_en
trapé, trap (v.)	1. to trap, catch, grab<br>2. to get, obtain, pick up<br>3. to go get, retch<br>4. to contract, catch (a disease, etc.)<br>5. to remember, recall<br>6. to understand<br>7. to reach, arrive at (a place)<br>8. to catch (someone doing something)<br>9. to find<br>10. to catch up with<br>11. to have, experience<br>12. to deliver (a baby)<br>13. to catch (one's foot, etc.)	1. Mwa é mô frèr, nou té trap pwason tou kalité manyè.<br>2. Mé dek to&nbsp; té koupé twa mové, çé t'apé senyé in ta, to té trapé le fil arènyé.<br>3. Trap banjo-la ki laba dan kwen.<br>4. Çé parey kònm si kèkenn gin in maladi, ça çé trap.<br>5. Mo té pa koné yé té gin dòktèr Gilbo. Mo jish trapé in dòktèr Grayon.<br>6. Ina kèk paròl dan French yé petèt a di m'a trapé li byin. M'a parlé kréyòl yé a trapé li osi, to koné.<br>7. Avan vou trap larivyè.<br>8. Çé vyè boug-la ki trapé twa?<br>9. Si le trapé ènn kònm mo enkòr, l'a fé li.<br>10. Kan mo té trapé avèk rekòt é mo nouvraj, mo té kouri fé extra dollars.<br>11. To trapé in mové lanné, l'a shodé, li pe é grosi.<br>12. Mwa, mo janmé trapé in ti bébé.<br>13. Li trapé sô pyé dan rakacha-la é shval-la trenné li jishka li arèté.	1. My brother and I used to catch every kind of fish.<br>2. But when you cut yourself bad and it was bleeding a lot, you would get a spiderweb.<br>3. Grab the banjo that is over there in the corner.<br>4. That's like when someone has a disease and it's contagious.<br>5. I didn't know there was a Dr. Guilbeau. I only remember a Dr. Graillon.<br>6. There are some French words that they might tell me that I would understand. When I speak Creole they will catch it too, you know.<br>7. Before you get to the river.<br>8. Is it the old guy who caught you?<br>9. If he finds another one like me, he will do it.<br>10. When I had caught up on my work in the fields, I went to earn a few extra dollars.<br>11. If you have a bad year the cotton will dry out and it won't grow.<br>12. I've never delivered a baby.<br>13. He got his foot stuck in the stirrup and the horse dragged him until it stopped.
travayé, travay (v.)	1. to work<br>2. to work, function<br>3. to work, cultivate	1. To travay tro. To gin lafatig.<br>2. Zafè-çala, ça travay pa.<br>3. Apré li lèvé, to komansé travay li.	1. You work too much. You're tired.<br>2. That stuff doesn't work.<br>3. After it has grown you begin to cultivate it.
trent (n.)	thirty	To fé kèkshoj dòt ke to té pa sipozé fé, so to va kanpé dan la kwen pou trant minut.	You did something you're not supposed to do, so you go stand in the corner for thirty minutes.
trent-é-ènn (n.)	thirty one		
trézòr (n.)	treasure	Pirat-yé t'olé toujou fouyé latèr en dizan nô vyè paran té teré larjan é lòr ou mayèr trezòr.	Pirates always wanted to dig up the ground, saying our ancestors buried money and gold or some kind of treasure.
trènné, trènn (v.)	to drag, trail, trail along	Sô ròb t'apé trènné en latèr.	Her dress was dragging on the ground.
trèz (n.)	thirteen	To té senm pa kèkenn ki gin piti trèz zan.	You don't look like someone who has a thirteen year old child.
tren (n.)	1. noise<br>2. quarrel, dispute, argument<br>3. pace	1. Mo tendé in tren.<br>2.<br>3.	1. I heard a noise.<br>2.<br>3.
tris (adj.)	sad	Mô kouzin gin in grason ki byin malad. Mo shagrin pou li parskè li si tris tou-l-tem.	My cousin has a son who is very sick. I feel bad for her because she's sad all the time.
tro (adj.)	1. too<br>2. too much, too many	1. Pri li mandé mwa té tro shèr.<br>2. Piti-layé otour isi linm amizé nou mé yé fé tro ditren.	1. The price he asked me was too high.<br>2. The children around here like to entertain us but they make too much noise.
trwò (n.)	three	Lalin in kar, in demi ou trwa kar.	The moon is a quarter, a half, or three quarters.
tròk (n.)	truck	Mo té miziré pou mèté in tant pardèsu tròk-çala.	i was measuring to put a tarp over the truck.
tròs (v.)	to trust	Tròs pa li. Çé in mantèr. Ça vo pa aryin.	Don't trust him. He's a liar. He's worthless.
twa (1. n., 2. pron.)	1. roof<br>2. you	1. Ina in bransh ki tonmbé en twa la.<br>2.	1. There was a branch that fell on the roof.<br>2.
twalèt (n.)	dresser, dressing table	Mo gin in ta bèbèl en mô latwalèt.	i've got a lot of nicknacks on my dressing table.
tô (det.)	your		
va, a (pvm., v.)	1. (future) to be going to, will<br>2. (habitual)<br>3. will be<br>4. to go<br>5. to fit&nbsp;	1. Mo krwa mo va la dèmin, mo pa krwa mo va kick the bucket.<br>2. Ina le fwa mwa é ALma no va parlé.<br>3. La nou va érè é pèrsonn pa alé trakasé nouzòt.<br>4. Ça çé in lamézon piten. Va pa la.<br>5. M'ap sèyé ròb-çala pou wa si li va.	1. I think I'll be here tomorrow. I don't think I'll kick the bucket.<br>2. There are times when Alma and I speak together.<br>3. Then we will be happy and no one will bother us.<br>4. That's a whorehouse. Don't go there.<br>5. I'm trying this dress on to see if it fits.
vash (n.)	cow	M'olé trèr in lavash.	I want to milk a cow.
vayan (adj.)	1. pretty, beautiful, nice, handsome<br>2. nice, good, kind<br>3. well, nicely	1. To gin in vayan bag en tô dwa.<br>2. Moun-çala, çé méshan. Yé vo pa aryin. Yé pa vayan ditou.<br>3. Flèr-la ap grosi vayan.	1. You've got a pretty ring on your finger.<br>2. Those people, they're worthless. They're not nice at all.<br>3. The flower is thriving.
vær (1. adj., 2. n.)	1. green<br>2. green, unripe<br>3. fresh<br>4. inexperienced, naive<br>5. glass, drinking glass<br>6. worm<br>7. maggot	1. Narb-la ki li té ça rèsté vèr tou livèr.<br>2. Vou koné ki çé ça in difig? Byin si li lamché vèr, byin la li pa bon manjjé vou èsperé jishka li vini janni.<br>3. Mo mèt mô le zwit, mo mèt mô le shevrèt, zon-dw-fwa mo mèt shevrèt vèr é shevrèt sèk.<br>4. Li vèr min ke li konpran pa byin.<br>5. Mo koup mô sitran en de é mo près li dan in vèr avèk dolo é in ti pe disik osi.<br>6. To lav larb-amè byin é to bouy ça dan dilé. To prenn ça kan in nenfan gin divèr.<br>7.	1. The tre which did that for him stayed green all winter long.<br>2. Do you know what a fig is? Well, if it is half green then it's not good to eat, you wait until it gets ripe.<br>3. I put in my oysters, I put in my shrimp, sometimes I use fresh shrimp and dried shrimp.<br>4. To say that he's green means that he doesn't understand very well.<br>5. I cut my lemon in two and squeeze it into a glass with water and a little bit of sugar too.<br>6. You wash bitterweed well and you boil it in milk. You use that when a child has worms.<br>7.
(dé)vær (n.)	worm	Yê gen ìn dévær dan mo jardin.	There is a worm in my garden.
vè (voulé) (v.)	to want	Mo veu di twa mô-chèn lopinyon.	I want to give you my own opinion.
vendrèdi (n.)	Friday	To pa vini vendrèdi?	You can't come on Friday?
Vendrédi Sin (n.)	Good Friday		
venn (v.)	to sell	Latèr, Bon Dyè té mét ça pa pou venn, çé té pou dòn pòv moun-yé.	God did not make the earth to sell, it was to give to poor people.
vent (n.)	stomach, belly	Li gin in gro vant.	He has a fat stomach.
(la)vésèl (n.)	dishes	Ìn gar-monjé? Çé pou mèt to lavésèl.	A china cabinet? That's for storing your dishes.
(la)vi (n.)	life	To jamé fé aryin dèt byin dan tô vi, twa!	You've never done anything good in your life!
vid (adj.)	empty	Sô karriayèr janmé vid.	His game bag is never empty.
vidyo (n.)	video		
(la)vil (n.)	city	Ìn kòrdònyé dan ìn piti lavil té gen ìn bèl fiy.	A shoemaker in a little city had a beautiful daughter.
vilaj (n.)	town		
vilin (adj.)	mean, nasty, ugly		
vin (n.)	twenty		
vin-dé (n.)	twenty two		
vinég (n.)	vinegar	Li pa bon li heg, kònm vineg.	It's not good, it's bitter like vinegar.
vini, vyin (v.)	1. to come<br>2. to be from, come from<br>3. to ejaculate<br>4. to happen<br>5. to become<br>6. to become, get<br>7. used expletively or for emphasis on a following verb<br>8. to have just	1. Li va é vyin kan l'olé.<br>2. Ça vin eyou? Le pròfsè vyin d la Lwizyan?<br>3. Li vini dan fenm-çala.<br>4. La ça vini kan yé trapé in sartin naj le trwa maryé.<br>5. Li vini in prèt.<br>6. Nònm-la vini shoké.<br>7. Otan moun ki ina isis, t'olé vini fé mwa hont parmi moun.<br>8.	1. He comes and goes whenever he likes.<br>2. Where does he come from? Does the professor come from Louisiana?<br>3. He came in that woman.<br>4. So it came to pass that when they reached a certain age the three married.<br>5. He became a priest.<br>6. The man got angry.<br>7. There are so many people here, and you want to come and embarrass me in front of them.<br>8.
vint-é-ènn (n.)	twenty one		
vit (adj., adv.)	1. fast, quickly<br>2. fast, lively (of music)	1. Vyè moun yé té gin in nom pou ça. Çé pa nouzòt ki ka di ça vit kònm yé.<br>2. Lamuzik dousman é lamuzik vit, yé té mèlé ça.	1. Old people had a name for that. We can't say it as fast as they could.<br>2. Slow music and fast music, they mixed them together.
viv (v.)	1. to live (possess life)<br>2. to live, dwell, eside	1. Lalwa Bondje di twa a viv, é kité viv.<br>2. Li apé viv dan lamizèr. Çé pitwayab.	1. God's law tells you to live and let live.&nbsp;<br>2. He's living in misery. It's pitiful.
vivan (adj.)	living, alive	Li vivan, li pa mouri.	It's alive, it's not dead.
vizité, vizit (v.)	1. to visit<br>2. to check on	1. Nou pe pa vizitè konm nou té koné pasé nou pa pròsh konm nou té koné det.<br>2. Çé parèy kònm si vou gin in dipin lèvé, vou mèt li dan vô oven. Byin vou ga li. Mé si li pa bon vou a fèrm'é lapòrt enkòr kit li la. La vou z vizité li enkòr.	1. We can't visit as often as we used to because we are no longer close like we used to be.<br>2. It's like when you have some bread dough, you put it in your oven. Well, you look at it, but if it's not good yet you shut the door an leave it in. Then you come back to check on it later.
vo (v.)	to be worth&nbsp;	T'ap lofé mwa pou ça to ashté. To pa pèyé mwa ça çé té vo.	You're tricking me about what you bought. you didn't pay me what it was worth.
vo-myè (v.)	1. to be better<br>2. had better to<br>3. to prefer<br>4. to prefer, like better	1. Té gin boukou pakanè tou dèryè la, mé, çé té larjan ki t'apé rantré çé té vo-myè pasé rekòt-la.<br>2. To kanay. To vo-myè arèté nishé piti-la.<br>3. ëpi in Francé té vo-myè mèlé avèk in nèg ke mèlé avèk in Kadjin.<br>4. Li vo-myè byèr pasé diven.	1. There used to be a lot of pecan trees all back there, that was money coming in and that was better than the harvest.<br>2. You're mischevious. You'd better stop picking on that child.<br>3. And a Frenchman preferred to mix with a black man than with a cajun.<br>4. He likes beer better than wine.
volé (n., v.)	1. heist, theft<br>2. beating, whipping, spanking<br>3. to fly<br>4. to steal<br>5. to kidnap, abduct	1. Yé jish olé fé in gro volé.<br>2. Paskè mo rèsté tro lontem avèk avèk Mari, kan mo rivé lamézon yé don mwa in volé.<br>3. L'apé volé.<br>4. Nou té koné volé wiski nou popa.<br>5. Géant-la volé yé papa paskè li té in bon koupé dekann.	1. They just wanted to pull a big heist.<br>2. Because I stayed too long with Mary, when I got home they gave me a spanking.<br>3. It's flying.<br>4. We used to steal our father's whiskey.<br>5. The giant kidnapped their father because he was a good cane cutter.
vomi (v.)	to vomit, throw up	Li té malad tou la nwit. Li t'apé vomi.	He was sick all night. he was vomiting.
vòyé, vòy (v.)	1. to send<br>2. to throw, toss<br>3. to deliver, deal (a blow, kick, etc.)	1. Mo gin pou vlopé in paké pou vòyé pou mô sèr dan Tèksas.<br>2. Li t'ap vòyé sô lasen dan dolo pou trapé pwason. L'apé sèrné.<br>3. To koné vòyé kou tèt konm tô popa? li lèvé sô lamin drèt é li vòyé en li. Pam!	1. I have to wrap a package to send to my sister in Texas.<br>2. he was throwing his net into the water to catch fish. he was fishing with a net.<br>3. Do you know how to strike with your head like your father did? he raised his right hand and struck him. Pow!
vou (pron.)	you (plural/formal)		
vré (adj.)	1. true<br>2. real	1. M'apé rakonté in listwar. Çé in listwar vré.<br>2. Mo pa koné si mo gin mwa in narb ki vré.	1. I'm telling a story. it's a true story.<br>2. I don't know whether I'll get myself a real tree.
(la)vwa (n.)	voice	T'apé hélé tro fòr. Bèsé to lavwa.	You're yelling too loud. Lower your voice.
vwala (int.)	voilà, there is/are	Mo di yé, "vwala, mo pa koné".	I tell them, "That's it, I don't know."
vwayaj (n.)	1. voyage, trip<br>2. vehicle	1. Piti-yé té kontan pou fé voyaj-çala.<br>2. Ti shmenn-d-kompan, té mèt pa de simon enba. Tou bonmon yé mèt blacktop. Ina pa de gro vòyaj ke pa disu pou kasé.	1. The children were happy to take that trip.<br>2. Little country roads, they don't put cement down on those. they just put blacktop down. There are no big vehicles that go by on them to break them up.
vwayajé, vwayaj (v.)	to travel	Trouvé in gro kalbas, fé in trou dan li. To va mèt mwa dan li, é nou va kouri vwayajé é nou va fé moun krwa to gin in kalbas ki ka shanté.	Find a big basket, and make a hole in it. You will put me in it, and we will travel and make people think that you have a basket that can sing.
vwazin (n.)	neighbor (female)	Mô vwazin toujou gin in ta traka avèk sô garson.	My neighbor always has a lot of trouble with her son.
vwazinaj (n.)	neighborhood, region	Li t'apé vendré tou le vwazinaj mayi.	He was selling corn to the whole neighborhood.
(la)vyann (n.)	meat	Mo koup mô lavyann fen pou kwi li.	I cut my meat thin to cook it.
vyœ (adj.)	1. old<br>2. husband<br>3. pal, buddy<br>4. wife<br>5. old woman	1. Mô pli vyè frèr mouri, é mo gin in frèr en vil, épi in lòt ki rès isi.&nbsp;<br>2. Pèl pa mwa tô vyè, mo mo pa vyè.<br>3. Çé koulèr, mô vyè.<br>4. Fé gombo vèr, mô vyè. Çé jordi vendrédi, no va fé mèg.<br>5. Yé di, "Pel lavyè"."	1. My oldest brother is dead, and I have a brother who lives in New Orleans, and another who lives here.<br>2. Don't call me your old man, I'm not old.<br>3. Those are colored folks, old pal.<br>4. make a vegetarian gumbo, my wife. Today is Friday, we will not eat meat.<br>5. The say, "Call the old woman."
vyolèt (n., adj.)	1. color (violet, lavender, purple)<br>2. flower (violet)	1. Mo té gin in ròb jon é mo tenn li vyolé.<br>2. Vyolèt maron çé in flèr blè.	1. I had a yellow dress and I dyed it purple.<br>2. Wild violets are blue.
vô (det.)	your (polite)		
wa (v.)	1. to see<br>2. to experience, live through	1. Yé jish apé kashé parskè yé p'olé moun was yé apé bo.<br>2. Mo pa wa slavery.	1. They're just hiding because they don't want anyone to see them kissing.<br>2. I didn't experience slavery.
wawaron (n.)	bullfrog	Çé té pa in wawaron, çé té in krapo.	That wasn't a bullfrog, it was a toad.
wès (n., adj.)	west		
wé (adv.)	yes	Mo gin in lòt enkòr, wé!	I have another one, yes!
wiski (n.)	whiskey	T'olé in kòtèl djin ou in kòtèl siski?	Do you want a gin cocktail or a whiskey cocktail?
wit (n.)	eight		
yær (adv.)	yesterday	Li tourné yèr.	He returned yesterday.
-yé (det.)	plural marker	Apré soléy koushé, ça té fé nwar é moush-a-fé-yé komensé sòrti.	After the sun set, it was dark and the fireflies began to come out.
yé (pron.)	they		
yéyay! (int.)	wow!		
yê (1. v., 2. det.)	1. to be<br>2. their		
zæfèr (n.)	affair, matter, bargain, thing		
zan (n.)	year (number)		
zariko (n., adj.)	1. beans<br>2. zydeco	1. Mô zariko-yé pa asé sézòné.<br>2.	1. My beans aren't seasoned enough.<br>2.
zartik (n.)	article, item (of merchandise in a store)	Komen çé pou artik-çala?	How much is it for that item?
(n/z/l)arènyé (n.)	spider	Gro zaryen dan bwa, li fé ìn gro fil zarènyé ron.	A big spider in the woods, he makes a big, round spiderweb.
zærb (n.)	1. grass<br>2. weed	1. Mo pey in ti garson pou koupé mô zèrb devan mô lamézon.<br>2. M'apé rashé lèrb dan mô jardin.	1. I pay a boy to cut the grass in front of my house.<br>2. I'm pulling the weeds out of my garden.
zon (1. pron., 2. adj.)	1. some<br>2. any, none	1. Li komansé fouyé la patat. La bouki t'olé zon!<br>2. Mo pa gin zon.	1. He began to dig up the potatoes. then Bouki wanted some!<br>2. I don't have any.
zégré (n.)	egret	Mo wa in zégré.	I saw an egret.
zéklær (n.)	lightning	Yé té gin paratònèr pou trapé tònèr é zéklèr pou peshé lamézon brilé ou magazin mayi.	They used to have lightning rods to catch the thunder and lightning to prevent the house or corn crib from burning.
zépòl (n.)	shoulder	Wa sô népòl té gonflé, é li apé bwaté.	I saw that his shoulder was swollen and that he was limping.
zétaj (n.)	floor, story (of a building)	Çé in lamézon en de zetaj.	It's a two story house.
